kode_unit,judul_unit,deskripsi_unit_clean,deskripsi_unit_clean_nlp,deskripsi_unit_enriched,deskripsi_unit_enriched_nlp,level_kkni,doc_sector,doc_title
ICAICT307A,Menyesuaikan Aplikasi Perangkat Lunak Terpaket untuk Klien,Menyesuaikan Aplikasi Perangkat Lunak Terpaket untuk Klien. Programming Software Development Network Infrastructure Operation System Tools adopsi,menyesuaikan aplikasi perangkat lunak terpaket untuk klien. programming software development network infrastructure operation system tools adopsi,menyesuaikan aplikasi software terpaket untuk klien. programming software development network infrastructure operation system tools adopsi,menyesuaikan aplikasi software terpaket untuk klien. programming software development network infrastructure operation system tools adopsi,,Programming Software Development Network Infrastructure Operation System Tools adopsi,"SKKNI Programming and Software Development, Network and Infrastructure, Operation and System Tools"
J.59AVE00.001.1,Melaksanakan Keselamatan dan Kesehatan Kerja (K3) di Tempat Kerja,Melaksanakan Keselamatan dan Kesehatan Kerja (K3) di Tempat Kerja. Audio Visual Engineering Technician Support,melaksanakan keselamatan dan kesehatan kerja (k3) di tempat kerja. audio visual engineering technician support,execute keselamatan dan kesehatan kerja (k3) di tempat kerja. audio visual engineering technician support,execute keselamatan dan kesehatan kerja (k3) di tempat kerja. audio visual engineering technician support,,Audio Visual Engineering Technician Support,SKKNI Audio Visual Engineering Technician Support
J.59AVE00.002.1,Menerapkan Etika Profesi,Menerapkan Etika Profesi. Audio Visual Engineering Technician Support,menerapkan etika profesi. audio visual engineering technician support,apply implement etika profesi. audio visual engineering technician support,apply implement etika profesi. audio visual engineering technician support,,Audio Visual Engineering Technician Support,SKKNI Audio Visual Engineering Technician Support
J.59AVE00.003.1,Membuat Breakdown Naskah Produksi Program Televisi,Membuat Breakdown Naskah Produksi Program Televisi. Audio Visual Engineering Technician Support,membuat breakdown naskah produksi program televisi. audio visual engineering technician support,membuat breakdown naskah produksi program televisi. audio visual engineering technician support,membuat breakdown naskah produksi program televisi. audio visual engineering technician support,,Audio Visual Engineering Technician Support,SKKNI Audio Visual Engineering Technician Support
J.59AVE00.004.1,Menerapkan Floor Plan Sesuai dengan Tugas pada Area Pekerjaan Masing- masing,Menerapkan Floor Plan Sesuai dengan Tugas pada Area Pekerjaan Masing- masing. Audio Visual Engineering Technician Support,menerapkan floor plan sesuai dengan tugas pada area pekerjaan masing- masing. audio visual engineering technician support,apply implement floor plan sesuai dengan tugas pada area pekerjaan masing- masing. audio visual engineering technician support,apply implement floor plan sesuai dengan tugas pada area pekerjaan masing- masing. audio visual engineering technician support,,Audio Visual Engineering Technician Support,SKKNI Audio Visual Engineering Technician Support
J.59AVE00.005.1,Melakukan Pendataan Kebutuhan Peralatan,Melakukan Pendataan Kebutuhan Peralatan. Audio Visual Engineering Technician Support,melakukan pendataan kebutuhan peralatan. audio visual engineering technician support,melakukan pendataan kebutuhan peralatan. audio visual engineering technician support,melakukan pendataan kebutuhan peralatan. audio visual engineering technician support,,Audio Visual Engineering Technician Support,SKKNI Audio Visual Engineering Technician Support
J.59AVE00.006.1,Menata Letak dan Penempatan Microphone,Menata Letak dan Penempatan Microphone. Audio Visual Engineering Technician Support,menata letak dan penempatan microphone. audio visual engineering technician support,menata letak dan penempatan microphone. audio visual engineering technician support,menata letak dan penempatan microphone. audio visual engineering technician support,,Audio Visual Engineering Technician Support,SKKNI Audio Visual Engineering Technician Support
J.59AVE00.007.1,Menata Letak dan Penempatan Peralatan Visual,Menata Letak dan Penempatan Peralatan Visual. Audio Visual Engineering Technician Support,menata letak dan penempatan peralatan visual. audio visual engineering technician support,menata letak dan penempatan peralatan visual. audio visual engineering technician support,menata letak dan penempatan peralatan visual. audio visual engineering technician support,,Audio Visual Engineering Technician Support,SKKNI Audio Visual Engineering Technician Support
J.59AVE00.008.1,Menata Letak dan Penempatan Peralatan Tata Cahaya,Menata Letak dan Penempatan Peralatan Tata Cahaya. Audio Visual Engineering Technician Support,menata letak dan penempatan peralatan tata cahaya. audio visual engineering technician support,menata letak dan penempatan peralatan tata cahaya. audio visual engineering technician support,menata letak dan penempatan peralatan tata cahaya. audio visual engineering technician support,,Audio Visual Engineering Technician Support,SKKNI Audio Visual Engineering Technician Support
J.59AVE00.009.1,Melakukan Check line Sesuai Bidang Pekerjaan Masing-Masing,Melakukan Check line Sesuai Bidang Pekerjaan Masing-Masing. Audio Visual Engineering Technician Support,melakukan check line sesuai bidang pekerjaan masing-masing. audio visual engineering technician support,melakukan check line sesuai bidang pekerjaan masing-masing. audio visual engineering technician support,melakukan check line sesuai bidang pekerjaan masing-masing. audio visual engineering technician support,,Audio Visual Engineering Technician Support,SKKNI Audio Visual Engineering Technician Support
J.59AVE00.010.1,Melakukan Adjustment Peralatan,Melakukan Adjustment Peralatan. Audio Visual Engineering Technician Support,melakukan adjustment peralatan. audio visual engineering technician support,melakukan adjustment peralatan. audio visual engineering technician support,melakukan adjustment peralatan. audio visual engineering technician support,,Audio Visual Engineering Technician Support,SKKNI Audio Visual Engineering Technician Support
J.59AVE00.011.1,Memastikan Penataan Cahaya,Memastikan Penataan Cahaya. Audio Visual Engineering Technician Support,memastikan penataan cahaya. audio visual engineering technician support,memastikan penataan cahaya. audio visual engineering technician support,memastikan penataan cahaya. audio visual engineering technician support,,Audio Visual Engineering Technician Support,SKKNI Audio Visual Engineering Technician Support
J.59AVE00.012.1,Melakukan Perekaman Audio,Melakukan Perekaman Audio. Audio Visual Engineering Technician Support,melakukan perekaman audio. audio visual engineering technician support,melakukan perekaman audio. audio visual engineering technician support,melakukan perekaman audio. audio visual engineering technician support,,Audio Visual Engineering Technician Support,SKKNI Audio Visual Engineering Technician Support
J.59AVE00.013.1,Melakukan Perekaman Gambar,Melakukan Perekaman Gambar. Audio Visual Engineering Technician Support,melakukan perekaman gambar. audio visual engineering technician support,melakukan perekaman gambar. audio visual engineering technician support,melakukan perekaman gambar. audio visual engineering technician support,,Audio Visual Engineering Technician Support,SKKNI Audio Visual Engineering Technician Support
J.59AVE00.014.1,Membuat Laporan Penggunaan Alat,Membuat Laporan Penggunaan Alat. Audio Visual Engineering Technician Support,membuat laporan penggunaan alat. audio visual engineering technician support,membuat laporan penggunaan alat. audio visual engineering technician support,membuat laporan penggunaan alat. audio visual engineering technician support,,Audio Visual Engineering Technician Support,SKKNI Audio Visual Engineering Technician Support
J.58PNB01.001.1,Mengidentifikasi Alur Penerbitan Buku,Mengidentifikasi Alur Penerbitan Buku. Penerbitan Buku,mengidentifikasi alur penerbitan buku. penerbitan buku,identify alur book publishing. book publishing,identify alur book publishing. book publishing,,Penerbitan Buku,SKKNI Penerbitan Buku
J.58PNB01.002.1,Menerapkan Strategi Pemerolehan Naskah,Menerapkan Strategi Pemerolehan Naskah. Penerbitan Buku,menerapkan strategi pemerolehan naskah. penerbitan buku,apply implement strategi pemerolehan naskah. book publishing,apply implement strategi pemerolehan naskah. book publishing,,Penerbitan Buku,SKKNI Penerbitan Buku
J.58PNB01.003.1,Menilai Naskah,Menilai Naskah. Penerbitan Buku,menilai naskah. penerbitan buku,menilai naskah. book publishing,menilai naskah. book publishing,,Penerbitan Buku,SKKNI Penerbitan Buku
J.58PNB01.004.1,Membuat Perencanaan Penerbitan Buku,Membuat Perencanaan Penerbitan Buku. Penerbitan Buku,membuat perencanaan penerbitan buku. penerbitan buku,membuat perencanaan book publishing. book publishing,membuat perencanaan book publishing. book publishing,,Penerbitan Buku,SKKNI Penerbitan Buku
J.58PNB01.005.1,Menyelia Penyuntingan Naskah,Menyelia Penyuntingan Naskah. Penerbitan Buku,menyelia penyuntingan naskah. penerbitan buku,menyelia penyuntingan naskah. book publishing,menyelia penyuntingan naskah. book publishing,,Penerbitan Buku,SKKNI Penerbitan Buku
J.58PNB01.006.1,Menyelia Pendesainan Buku,Menyelia Pendesainan Buku. Penerbitan Buku,menyelia pendesainan buku. penerbitan buku,menyelia pendesainan buku. book publishing,menyelia pendesainan buku. book publishing,,Penerbitan Buku,SKKNI Penerbitan Buku
J.58PNB01.007.1,Menyiapkan Pracetak Buku,Menyiapkan Pracetak Buku. Penerbitan Buku,menyiapkan pracetak buku. penerbitan buku,menyiapkan pracetak buku. book publishing,menyiapkan pracetak buku. book publishing,,Penerbitan Buku,SKKNI Penerbitan Buku
J.58PNB01.008.1,Membuat Perencanaan Finansial Buku,Membuat Perencanaan Finansial Buku. Penerbitan Buku,membuat perencanaan finansial buku. penerbitan buku,membuat perencanaan finansial buku. book publishing,membuat perencanaan finansial buku. book publishing,,Penerbitan Buku,SKKNI Penerbitan Buku
J.58PNB01.009.1,Membuat Perencanaan Promosi Buku,Membuat Perencanaan Promosi Buku. Penerbitan Buku,membuat perencanaan promosi buku. penerbitan buku,membuat perencanaan promosi buku. book publishing,membuat perencanaan promosi buku. book publishing,,Penerbitan Buku,SKKNI Penerbitan Buku
J.58PNB01.010.1,Membuat Perencanaan Penjualan Buku,Membuat Perencanaan Penjualan Buku. Penerbitan Buku,membuat perencanaan penjualan buku. penerbitan buku,membuat perencanaan penjualan buku. book publishing,membuat perencanaan penjualan buku. book publishing,,Penerbitan Buku,SKKNI Penerbitan Buku
J.60RAD00.012.1,Melakukan Riset,Melakukan Riset. Penyiaran Radio,melakukan riset. penyiaran radio,melakukan riset. radio broadcasting,melakukan riset. radio broadcasting,,Penyiaran Radio,SKKNI Penyiaran Radio
J.60RAD00.013.1,Mengelola Playlist,Mengelola Playlist. Penyiaran Radio,mengelola playlist. penyiaran radio,manage playlist. radio broadcasting,manage playlist. radio broadcasting,,Penyiaran Radio,SKKNI Penyiaran Radio
J.60RAD00.014.1,Membangun Jadwal-Jadwal Program,Membangun Jadwal-Jadwal Program. Penyiaran Radio,membangun jadwal-jadwal program. penyiaran radio,build jadwal-jadwal program. radio broadcasting,build jadwal-jadwal program. radio broadcasting,,Penyiaran Radio,SKKNI Penyiaran Radio
J.60RAD00.015.1,Mengimplementasi Pengaturan Hak Cipta,Mengimplementasi Pengaturan Hak Cipta. Penyiaran Radio,mengimplementasi pengaturan hak cipta. penyiaran radio,mengimplementasi pengaturan hak cipta. radio broadcasting,mengimplementasi pengaturan hak cipta. radio broadcasting,,Penyiaran Radio,SKKNI Penyiaran Radio
J.60RAD00.016.1,Merencanakan dan Menyiapkan Konten Program,Merencanakan dan Menyiapkan Konten Program. Penyiaran Radio,merencanakan dan menyiapkan konten program. penyiaran radio,plan dan menyiapkan konten program. radio broadcasting,plan dan menyiapkan konten program. radio broadcasting,,Penyiaran Radio,SKKNI Penyiaran Radio
J.60RAD00.017.1,Menulis Konten untuk Beragam Media,Menulis Konten untuk Beragam Media. Penyiaran Radio,menulis konten untuk beragam media. penyiaran radio,menulis konten untuk beragam media. radio broadcasting,menulis konten untuk beragam media. radio broadcasting,,Penyiaran Radio,SKKNI Penyiaran Radio
J.60RAD00.018.1,Menulis Cerita-Cerita Sederhana,Menulis Cerita-Cerita Sederhana. Penyiaran Radio,menulis cerita-cerita sederhana. penyiaran radio,menulis cerita-cerita sederhana. radio broadcasting,menulis cerita-cerita sederhana. radio broadcasting,,Penyiaran Radio,SKKNI Penyiaran Radio
J.60RAD00.019.1,Membuat Program dan Segmen Program,Membuat Program dan Segmen Program. Penyiaran Radio,membuat program dan segmen program. penyiaran radio,membuat program dan segmen program. radio broadcasting,membuat program dan segmen program. radio broadcasting,,Penyiaran Radio,SKKNI Penyiaran Radio
J.60RAD00.020.1,Mencampur Bunyi di Lingkungan Penyiaran,Mencampur Bunyi di Lingkungan Penyiaran. Penyiaran Radio,mencampur bunyi di lingkungan penyiaran. penyiaran radio,mencampur bunyi di lingkungan broadcasting. radio broadcasting,mencampur bunyi di lingkungan broadcasting. radio broadcasting,,Penyiaran Radio,SKKNI Penyiaran Radio
J.60RAD00.021.1,Melakukan Pengeditan Bunyi,Melakukan Pengeditan Bunyi. Penyiaran Radio,melakukan pengeditan bunyi. penyiaran radio,melakukan pengeditan bunyi. radio broadcasting,melakukan pengeditan bunyi. radio broadcasting,,Penyiaran Radio,SKKNI Penyiaran Radio
J.60RAD00.022.1,Mendesain Fasilitas-Fasilitas Penyiaran,Mendesain Fasilitas-Fasilitas Penyiaran. Penyiaran Radio,mendesain fasilitas-fasilitas penyiaran. penyiaran radio,mendesain fasilitas-fasilitas broadcasting. radio broadcasting,mendesain fasilitas-fasilitas broadcasting. radio broadcasting,,Penyiaran Radio,SKKNI Penyiaran Radio
J.60RAD00.023.1,Melakukan Pemasangan (Install) Perangkat dan Fasilitas Penyiaran,Melakukan Pemasangan (Install) Perangkat dan Fasilitas Penyiaran. Penyiaran Radio,melakukan pemasangan (install) perangkat dan fasilitas penyiaran. penyiaran radio,melakukan pemasangan (install) perangkat dan fasilitas broadcasting. radio broadcasting,melakukan pemasangan (install) perangkat dan fasilitas broadcasting. radio broadcasting,,Penyiaran Radio,SKKNI Penyiaran Radio
J.60RAD00.024.1,Melakukan Pemasangan (Install) Jaringan,Melakukan Pemasangan (Install) Jaringan. Penyiaran Radio,melakukan pemasangan (install) jaringan. penyiaran radio,melakukan pemasangan (install) network. radio broadcasting,melakukan pemasangan (install) network. radio broadcasting,,Penyiaran Radio,SKKNI Penyiaran Radio
J.60RAD00.025.1,Melaksanakan Pengoperasian Pemancaran (Transmission),Melaksanakan Pengoperasian Pemancaran (Transmission). Penyiaran Radio,melaksanakan pengoperasian pemancaran (transmission). penyiaran radio,execute pengoperasian pemancaran (transmission). radio broadcasting,execute pengoperasian pemancaran (transmission). radio broadcasting,,Penyiaran Radio,SKKNI Penyiaran Radio
J.60RAD00.026.1,Memastikan Kualitas Keluaran (Output) Siaran,Memastikan Kualitas Keluaran (Output) Siaran. Penyiaran Radio,memastikan kualitas keluaran (output) siaran. penyiaran radio,memastikan kualitas keluaran (output) siaran. radio broadcasting,memastikan kualitas keluaran (output) siaran. radio broadcasting,,Penyiaran Radio,SKKNI Penyiaran Radio
J.60RAD00.027.1,Mengkoordinasikan Siaran Luar (Outside Broadcast),Mengkoordinasikan Siaran Luar (Outside Broadcast). Penyiaran Radio,mengkoordinasikan siaran luar (outside broadcast). penyiaran radio,mengkoordinasikan siaran luar (outside broadcast). radio broadcasting,mengkoordinasikan siaran luar (outside broadcast). radio broadcasting,,Penyiaran Radio,SKKNI Penyiaran Radio
J.60RAD00.028.1,Mengatasi Permasalahan Jaringan,Mengatasi Permasalahan Jaringan. Penyiaran Radio,mengatasi permasalahan jaringan. penyiaran radio,mengatasi permasalahan network. radio broadcasting,mengatasi permasalahan network. radio broadcasting,,Penyiaran Radio,SKKNI Penyiaran Radio
J.60RAD00.029.1,Melakukan Pemeliharaan Perangkat dan Fasilitas Penyiaran,Melakukan Pemeliharaan Perangkat dan Fasilitas Penyiaran. Penyiaran Radio,melakukan pemeliharaan perangkat dan fasilitas penyiaran. penyiaran radio,melakukan pemeliharaan perangkat dan fasilitas broadcasting. radio broadcasting,melakukan pemeliharaan perangkat dan fasilitas broadcasting. radio broadcasting,,Penyiaran Radio,SKKNI Penyiaran Radio
J.60RAD00.030.1,Menerapkan Prosedur-Prosedur Pemeliharaan,Menerapkan Prosedur-Prosedur Pemeliharaan. Penyiaran Radio,menerapkan prosedur-prosedur pemeliharaan. penyiaran radio,apply implement prosedur-prosedur pemeliharaan. radio broadcasting,apply implement prosedur-prosedur pemeliharaan. radio broadcasting,,Penyiaran Radio,SKKNI Penyiaran Radio
J.60RAD00.031.1,Memastikan Efektifitas Tim,Memastikan Efektifitas Tim. Penyiaran Radio,memastikan efektifitas tim. penyiaran radio,memastikan efektifitas tim. radio broadcasting,memastikan efektifitas tim. radio broadcasting,,Penyiaran Radio,SKKNI Penyiaran Radio
J.60RAD00.032.1,Mengelola Kinerja Orang Lain,Mengelola Kinerja Orang Lain. Penyiaran Radio,mengelola kinerja orang lain. penyiaran radio,manage kinerja orang lain. radio broadcasting,manage kinerja orang lain. radio broadcasting,,Penyiaran Radio,SKKNI Penyiaran Radio
J.59MTM00.001.1,Menyusun Anggaran Proyek Multimedia,Menyusun Anggaran Proyek Multimedia. Multimedia,menyusun anggaran proyek multimedia. multimedia,menyusun anggaran proyek multimedia. multimedia,menyusun anggaran proyek multimedia. multimedia,,Multimedia,SKKNI Multimedia
J.59MTM00.002.1,Melakukan Riset Kreatif Multimedia,Melakukan Riset Kreatif Multimedia. Multimedia,melakukan riset kreatif multimedia. multimedia,melakukan riset kreatif multimedia. multimedia,melakukan riset kreatif multimedia. multimedia,,Multimedia,SKKNI Multimedia
J.59MTM00.003.1,Menyusun Proposal Project Multimedia,Menyusun Proposal Project Multimedia. Multimedia,menyusun proposal project multimedia. multimedia,menyusun proposal project multimedia. multimedia,menyusun proposal project multimedia. multimedia,,Multimedia,SKKNI Multimedia
J.59MTM00.004.1,Menyusun Creative Brief,Menyusun Creative Brief. Multimedia,menyusun creative brief. multimedia,menyusun creative brief. multimedia,menyusun creative brief. multimedia,,Multimedia,SKKNI Multimedia
J.59MTM00.005.1,Menyusun Technical Brief,Menyusun Technical Brief. Multimedia,menyusun technical brief. multimedia,menyusun technical brief. multimedia,menyusun technical brief. multimedia,,Multimedia,SKKNI Multimedia
J.59MTM00.006.1,Membuat Arahan Visual,Membuat Arahan Visual. Multimedia,membuat arahan visual. multimedia,membuat arahan visual. multimedia,membuat arahan visual. multimedia,,Multimedia,SKKNI Multimedia
J.59MTM00.007.1,Mengevaluasi Output Visual,Mengevaluasi Output Visual. Multimedia,mengevaluasi output visual. multimedia,evaluate output visual. multimedia,evaluate output visual. multimedia,,Multimedia,SKKNI Multimedia
J.59MTM00.008.1,Merencanakan Arah Tampilan Pengguna (User Experience),Merencanakan Arah Tampilan Pengguna (User Experience). Multimedia,merencanakan arah tampilan pengguna (user experience). multimedia,plan arah tampilan pengguna (user experience). multimedia,plan arah tampilan pengguna (user experience). multimedia,,Multimedia,SKKNI Multimedia
J.59MTM00.009.1,Mengevaluasi Tampilan Pengguna (User Experience),Mengevaluasi Tampilan Pengguna (User Experience). Multimedia,mengevaluasi tampilan pengguna (user experience). multimedia,evaluate tampilan pengguna (user experience). multimedia,evaluate tampilan pengguna (user experience). multimedia,,Multimedia,SKKNI Multimedia
J.59MTM00.010.1,Menterjemahkan Arah Visual Ke dalam Langkah Kerja,Menterjemahkan Arah Visual Ke dalam Langkah Kerja. Multimedia,menterjemahkan arah visual ke dalam langkah kerja. multimedia,menterjemahkan arah visual ke dalam langkah kerja. multimedia,menterjemahkan arah visual ke dalam langkah kerja. multimedia,,Multimedia,SKKNI Multimedia
J.59MTM00.011.1,Membuat Aset Visual Berdasarkan Langkah Kerja yang Telah Ditetapkan,Membuat Aset Visual Berdasarkan Langkah Kerja yang Telah Ditetapkan. Multimedia,membuat aset visual berdasarkan langkah kerja yang telah ditetapkan. multimedia,membuat aset visual berdasarkan langkah kerja yang telah ditetapkan. multimedia,membuat aset visual berdasarkan langkah kerja yang telah ditetapkan. multimedia,,Multimedia,SKKNI Multimedia
J.59MTM00.012.1,Merencanakan Arah Kebutuhan Aset Audio,Merencanakan Arah Kebutuhan Aset Audio. Multimedia,merencanakan arah kebutuhan aset audio. multimedia,plan arah kebutuhan aset audio. multimedia,plan arah kebutuhan aset audio. multimedia,,Multimedia,SKKNI Multimedia
J.59MTM00.013.1,Mengevaluasi Hasil Pembuatan Aset Audio,Mengevaluasi Hasil Pembuatan Aset Audio. Multimedia,mengevaluasi hasil pembuatan aset audio. multimedia,evaluate hasil pembuatan aset audio. multimedia,evaluate hasil pembuatan aset audio. multimedia,,Multimedia,SKKNI Multimedia
J.59MTM00.014.1,Menterjemahkan Arah Audio Ke dalam Langkah Kerja,Menterjemahkan Arah Audio Ke dalam Langkah Kerja. Multimedia,menterjemahkan arah audio ke dalam langkah kerja. multimedia,menterjemahkan arah audio ke dalam langkah kerja. multimedia,menterjemahkan arah audio ke dalam langkah kerja. multimedia,,Multimedia,SKKNI Multimedia
J.59MTM00.015.1,Membuat Aset Audio Berdasarkan Langkah Kerja Yang Telah Ditetapkan,Membuat Aset Audio Berdasarkan Langkah Kerja Yang Telah Ditetapkan. Multimedia,membuat aset audio berdasarkan langkah kerja yang telah ditetapkan. multimedia,membuat aset audio berdasarkan langkah kerja yang telah ditetapkan. multimedia,membuat aset audio berdasarkan langkah kerja yang telah ditetapkan. multimedia,,Multimedia,SKKNI Multimedia
J.59MTM00.016.1,Merencanakan Arah Kebutuhan Teknik,Merencanakan Arah Kebutuhan Teknik. Multimedia,merencanakan arah kebutuhan teknik. multimedia,plan arah kebutuhan teknik. multimedia,plan arah kebutuhan teknik. multimedia,,Multimedia,SKKNI Multimedia
J.59MTM00.017.1,Menentukan Kebutuhan Aset Teknik,Menentukan Kebutuhan Aset Teknik. Multimedia,menentukan kebutuhan aset teknik. multimedia,menentukan kebutuhan aset teknik. multimedia,menentukan kebutuhan aset teknik. multimedia,,Multimedia,SKKNI Multimedia
J.59MTM00.018.1,Mengintegrasikan Seluruh Komponen Multimedia Terkait Audio dan Visual,Mengintegrasikan Seluruh Komponen Multimedia Terkait Audio dan Visual. Multimedia,mengintegrasikan seluruh komponen multimedia terkait audio dan visual. multimedia,integrate seluruh komponen multimedia terkait audio dan visual. multimedia,integrate seluruh komponen multimedia terkait audio dan visual. multimedia,,Multimedia,SKKNI Multimedia
J.59MTM00.019.1,Mengevaluasi Hasil Pekerjaan Aset Teknis,Mengevaluasi Hasil Pekerjaan Aset Teknis. Multimedia,mengevaluasi hasil pekerjaan aset teknis. multimedia,evaluate hasil pekerjaan aset teknis. multimedia,evaluate hasil pekerjaan aset teknis. multimedia,,Multimedia,SKKNI Multimedia
J.59MTM00.020.1,Menentukan Arah Kebutuhan Teknis Berdasarkan Langkah Kerja yang Ditetapkan,Menentukan Arah Kebutuhan Teknis Berdasarkan Langkah Kerja yang Ditetapkan. Multimedia,menentukan arah kebutuhan teknis berdasarkan langkah kerja yang ditetapkan. multimedia,menentukan arah kebutuhan teknis berdasarkan langkah kerja yang ditetapkan. multimedia,menentukan arah kebutuhan teknis berdasarkan langkah kerja yang ditetapkan. multimedia,,Multimedia,SKKNI Multimedia
J.59MTM00.021.1,Membangun Sistem Aksebilitas Pengguna Berdasarkan Langkah Kerja yang telah Ditetapkan,Membangun Sistem Aksebilitas Pengguna Berdasarkan Langkah Kerja yang telah Ditetapkan. Multimedia,membangun sistem aksebilitas pengguna berdasarkan langkah kerja yang telah ditetapkan. multimedia,build sistem aksebilitas pengguna berdasarkan langkah kerja yang telah ditetapkan. multimedia,build sistem aksebilitas pengguna berdasarkan langkah kerja yang telah ditetapkan. multimedia,,Multimedia,SKKNI Multimedia
J.59MTM00.022.1,Menerjemahkan Brief ke Dalam Langkah Kerja,Menerjemahkan Brief ke Dalam Langkah Kerja. Multimedia,menerjemahkan brief ke dalam langkah kerja. multimedia,menerjemahkan brief ke dalam langkah kerja. multimedia,menerjemahkan brief ke dalam langkah kerja. multimedia,,Multimedia,SKKNI Multimedia
J.59MTM00.023.1,Membuat Pemrograman Interaktif Berdasarkan Langkah Kerja,Membuat Pemrograman Interaktif Berdasarkan Langkah Kerja. Multimedia,membuat pemrograman interaktif berdasarkan langkah kerja. multimedia,membuat programming interaktif berdasarkan langkah kerja. multimedia,membuat programming interaktif berdasarkan langkah kerja. multimedia,,Multimedia,SKKNI Multimedia
J.59MTM00.024.1,Mengelola Pekerjaan Pemrograman,Mengelola Pekerjaan Pemrograman. Multimedia,mengelola pekerjaan pemrograman. multimedia,manage pekerjaan programming. multimedia,manage pekerjaan programming. multimedia,,Multimedia,SKKNI Multimedia
J.59MTM00.025.1,Mengevaluasi Hasil Pemrograman dan User Experience (UX),Mengevaluasi Hasil Pemrograman dan User Experience (UX). Multimedia,mengevaluasi hasil pemrograman dan user experience (ux). multimedia,evaluate hasil programming dan user experience (ux). multimedia,evaluate hasil programming dan user experience (ux). multimedia,,Multimedia,SKKNI Multimedia
J.59MTM00.026.1,Memvalidasi Hasil Evaluasi Sesuai dengan Brief,Memvalidasi Hasil Evaluasi Sesuai dengan Brief. Multimedia,memvalidasi hasil evaluasi sesuai dengan brief. multimedia,validate hasil evaluasi sesuai dengan brief. multimedia,validate hasil evaluasi sesuai dengan brief. multimedia,,Multimedia,SKKNI Multimedia
J.59MTM00.027.1,Mengumpulkan Asset Multimedia,Mengumpulkan Asset Multimedia. Multimedia,mengumpulkan asset multimedia. multimedia,mengumpulkan asset multimedia. multimedia,mengumpulkan asset multimedia. multimedia,,Multimedia,SKKNI Multimedia
J.59MTM00.028.1,Membuat Data based Multimedia,Membuat Data based Multimedia. Multimedia,membuat data based multimedia. multimedia,membuat data based multimedia. multimedia,membuat data based multimedia. multimedia,,Multimedia,SKKNI Multimedia
J.59MTM00.029.1,Mendistribusikan Asset Multimedia,Mendistribusikan Asset Multimedia. Multimedia,mendistribusikan asset multimedia. multimedia,mendistribusikan asset multimedia. multimedia,mendistribusikan asset multimedia. multimedia,,Multimedia,SKKNI Multimedia
J.61IFO00.001.2,Melaksanakan Pekerjaan Secara Individu,Melaksanakan Pekerjaan Secara Individu. Instalasi Fiber Optik,melaksanakan pekerjaan secara individu. instalasi fiber optik,execute pekerjaan secara individu. fiber optic installation,execute pekerjaan secara individu. fiber optic installation,,Instalasi Fiber Optik,SKKNI Instalasi Fiber Optik
J.61IFO00.002.2,Menerapkan Prosedur Keselamatan dan Kesehatan Kerja (K3),Menerapkan Prosedur Keselamatan dan Kesehatan Kerja (K3). Instalasi Fiber Optik,menerapkan prosedur keselamatan dan kesehatan kerja (k3). instalasi fiber optik,apply implement prosedur keselamatan dan kesehatan kerja (k3). fiber optic installation,apply implement prosedur keselamatan dan kesehatan kerja (k3). fiber optic installation,,Instalasi Fiber Optik,SKKNI Instalasi Fiber Optik
J.61IFO00.003.2,Menggunakan Alat Ukur dan Alat Bantu,Menggunakan Alat Ukur dan Alat Bantu. Instalasi Fiber Optik,menggunakan alat ukur dan alat bantu. instalasi fiber optik,menggunakan alat ukur dan alat bantu. fiber optic installation,menggunakan alat ukur dan alat bantu. fiber optic installation,,Instalasi Fiber Optik,SKKNI Instalasi Fiber Optik
J.61IFO00.004.2,Membuat Laporan Tertulis,Membuat Laporan Tertulis. Instalasi Fiber Optik,membuat laporan tertulis. instalasi fiber optik,membuat laporan tertulis. fiber optic installation,membuat laporan tertulis. fiber optic installation,,Instalasi Fiber Optik,SKKNI Instalasi Fiber Optik
J.61IFO00.005.2,Melakukan Komunikasi di Tempat Kerja,Melakukan Komunikasi di Tempat Kerja. Instalasi Fiber Optik,melakukan komunikasi di tempat kerja. instalasi fiber optik,melakukan komunikasi di tempat kerja. fiber optic installation,melakukan komunikasi di tempat kerja. fiber optic installation,,Instalasi Fiber Optik,SKKNI Instalasi Fiber Optik
J.61IFO00.006.2,Melaksanakan Pekerjaan Secara Tim,Melaksanakan Pekerjaan Secara Tim. Instalasi Fiber Optik,melaksanakan pekerjaan secara tim. instalasi fiber optik,execute pekerjaan secara tim. fiber optic installation,execute pekerjaan secara tim. fiber optic installation,,Instalasi Fiber Optik,SKKNI Instalasi Fiber Optik
J.61IFO00.012.2,Mengoperasikan Power Meter,Mengoperasikan Power Meter. Instalasi Fiber Optik,mengoperasikan power meter. instalasi fiber optik,operate power meter. fiber optic installation,operate power meter. fiber optic installation,,Instalasi Fiber Optik,SKKNI Instalasi Fiber Optik
J.61IFO00.013.2,Memasang Konektor Fiber Optik,Memasang Konektor Fiber Optik. Instalasi Fiber Optik,memasang konektor fiber optik. instalasi fiber optik,install konektor fiber optic. fiber optic installation,install konektor fiber optic. fiber optic installation,,Instalasi Fiber Optik,SKKNI Instalasi Fiber Optik
